Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type,easting,northing,translation_easting,translation_northing,rotation_angle_degrees,transformed_easting,transformed_northing,error
1709121591.911487,1166,1709121591,566830292,,2,0,63.23967013096054,9.50187033102811,377.2397109775246,60.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0,224043.6390287447,7024128.163439731,,,,,,
1709121591.912211,1167,1709121591,670852951,,2,0,63.239668238978346,9.50186933141478,377.2481179250153,53.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0,224043.57088061117,7024127.957515962,-0.0681481335486751,-0.20592376869171858,5.017966770992643e-07,224043.50936326728,7024127.959478138,0.061548629000031635
1709121591.9211822,1168,1709121591,771851431,,2,0,63.23966830616577,9.501870147496271,377.2514505916083,53.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0,224043.6124071404,7024127.96146757,0.04152652923949063,0.003951607272028923,-3.373603760792321e-07,224043.6537655523,7024127.96014839,0.04137944499947108
1709121591.9350996,1169,1709121591,873130268,,2,0,63.2396671811742,9.50186995630876,377.2538215881154,55.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0,224043.5920851326,7024127.83728714,-0.02032200779649429,-0.12418042961508036,1.3332189041648235e-07,224043.57574064744,7024127.837808468,0.016352797267681435
1709121591.9762473,1170,1709121591,974026027,,2,0,63.23966730556673,9.501871486480844,377.2533957422794,56.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0,224043.6699332173,7024127.844520326,0.07784808467840776,0.0072331856936216354,-6.324810897240241e-07,224043.7474717038,7024127.842047135,0.07757791929051291
1709121592.0747876,1171,1709121592,74049324,,2,0,63.23966778420992,9.50187232974206,377.2485901784541,58.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0,224043.7167508371,7024127.894073888,0.04681761981919408,0.049553561955690384,-3.686233469579747e-07,224043.76194190592,7024127.89263246,0.045214051065541175
1709121592.1698835,1172,1709121592,167189754,,2,0,63.23966722641916,9.501872971310387,377.2525242064981,57.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0,224043.743565872,7024127.829332355,0.02681503488565795,-0.06474153231829405,-2.3533502258032968e-07,224043.77241657113,7024127.828412125,0.028865371377696306
1709121592.27644,1173,1709121592,275880362,,2,0,63.239668218805605,9.50187280997366,377.2567044204157,56.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0,224043.74496037103,7024127.940296262,0.0013944990350864828,0.1109639061614871,1.747767441884207e-08,224043.74281771024,7024127.940364605,0.0021437504613745183
1709121592.3768814,1174,1709121592,375817705,,2,0,63.23966841475568,9.50187248088512,377.24825717578005,63.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0,224043.7303446836,7024127.963486303,-0.014615687425248325,0.023190041072666645,1.2512631997196877e-07,224043.71500492757,7024127.963975584,0.015347557186658627
1709121592.4695942,1175,1709121592,467776163,,2,0,63.23966870863949,9.5018720687885,377.2437988727033,59.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0,224043.712505642,7024127.997915693,-0.01783904159674421,0.034429389983415604,1.5431376709784672e-07,224043.69358767534,7024127.998519106,0.01892758754223097
